entity_id,src,dst,match_type,score,reason
17179869185,17179869185,17179895774,det_domain_cc,100.0,same domain+country: clubtarneit.com.au|AU
17179869186,17179869186,17179871196,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179871468,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179872010,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179874011,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179874471,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179875941,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179880131,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179881682,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179892271,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179896849,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179900524,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869186,17179869186,17179902382,det_domain_cc,100.0,same domain+country: aaaauto.cz|CZ
17179869188,17179869188,17179871407,det_phone_cc,100.0,same phone+country: +19174887460|US
17179869188,17179869188,17179884194,det_phone_cc,100.0,same phone+country: +19174887460|US
17179869188,17179869188,17179896618,det_phone_cc,100.0,same phone+country: +19174887460|US
17179869189,17179869189,17179874263,det_domain_cc,100.0,same domain+country: bammakeupstudio.com.au|AU
17179869190,17179869190,17179877582,det_domain_cc,100.0,same domain+country: tescoma.hu|HU
17179869190,17179869190,17179898646,det_domain_cc,100.0,same domain+country: tescoma.hu|HU
17179869194,17179869194,17179890636,det_domain_cc,100.0,same domain+country: piermarq.com.au|AU
17179869196,17179869196,17179881956,det_domain_cc,100.0,same domain+country: heban.pl|PL
17179869196,17179869196,17179898783,det_domain_cc,100.0,same domain+country: heban.pl|PL
17179869197,17179869197,17179888343,det_domain_cc,100.0,same domain+country: stocknlock.net|US
17179869197,17179869197,17179894225,det_domain_cc,100.0,same domain+country: stocknlock.net|US
17179869197,17179869197,17179896248,det_domain_cc,100.0,same domain+country: stocknlock.net|US
17179869199,17179869199,17179874219,det_domain_cc,100.0,same domain+country: caimontecchiomaggiore.it|IT
17179869199,17179869199,17179896084,det_domain_cc,100.0,same domain+country: caimontecchiomaggiore.it|IT
17179869201,17179869201,17179890230,det_domain_cc,100.0,same domain+country: dogwash.net|US
17179869202,17179869202,17179874254,det_domain_cc,100.0,same domain+country: sinacova.co.jp|JP
17179869202,17179869202,17179895747,det_domain_cc,100.0,same domain+country: sinacova.co.jp|JP
17179869203,17179869203,17179887418,det_domain_cc,100.0,same domain+country: mediatects.de|DE
17179869205,17179869205,17179892030,det_phone_cc,100.0,same phone+country: +16305844424|US
17179869206,17179869206,17179890335,det_domain_cc,100.0,same domain+country: andreaveramonti.it|IT
17179869207,17179869207,17179884256,det_domain_cc,100.0,same domain+country: ixom.com|AU
17179869207,17179869207,17179885794,det_domain_cc,100.0,same domain+country: ixom.com|AU
17179869207,17179869207,17179894167,det_domain_cc,100.0,same domain+country: ixom.com|AU
17179869208,17179869208,17179895189,det_domain_cc,100.0,same domain+country: elliscabinet.com|US
17179869209,17179869209,17179898791,det_domain_cc,100.0,same domain+country: goodlifedaycare.com|US
17179869212,17179869212,17179876786,fuzzy_name_plus,100.0,"name_score=100.0, block=geo1:US|horsham"
17179869212,17179869212,17179900954,fuzzy_name_plus,100.0,"name_score=100.0, block=geo1:US|horsham"
17179869213,17179869213,17179878221,det_domain_cc,100.0,same domain+country: nccoast.org|US
17179869213,17179869213,17179880444,det_domain_cc,100.0,same domain+country: nccoast.org|US
17179869214,17179869214,17179879185,det_domain_cc,100.0,same domain+country: headwayeastlondon.org|GB
17179869215,17179869215,17179876794,det_domain_cc,100.0,same domain+country: drpiave.com|US
17179869215,17179869215,17179890943,det_domain_cc,100.0,same domain+country: drpiave.com|US
